Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"44,375","±5,567"
"        Agriculture, forestry, fishing and hunting, and mining",0.0%,±0.3
        Construction,1.7%,±0.9
        Manufacturing,4.0%,±1.3
        Wholesale trade,1.7%,±0.8
        Retail trade,10.2%,±2.4
"        Transportation and warehousing, and utilities",4.2%,±1.4
        Information,1.8%,±1.0
"        Finance and insurance, and real estate and rental and leasing",6.2%,±2.5
"        Professional, scientific, and management, and administrative and waste management services",6.9%,±1.8
"        Educational services, and health care and social assistance",50.0%,±3.9
"        Arts, entertainment, and recreation, and accommodation and food services",8.8%,±2.9
        Other services (except public administration),3.6%,±1.6
        Public administration,1.0%,±0.6
