Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"44,375","±5,567"
"        Management, business, science, and arts occupations",50.5%,±3.2
        Service occupations,21.6%,±4.4
        Sales and office occupations,19.6%,±4.3
"        Natural resources, construction, and maintenance occupations",2.5%,±1.2
"        Production, transportation, and material moving occupations",5.8%,±1.7
    Male civilian employed population 16 years and over,"18,488","±2,235"
"        Management, business, science, and arts occupations",40.7%,±5.3
        Service occupations,24.4%,±7.1
        Sales and office occupations,16.9%,±3.9
"        Natural resources, construction, and maintenance occupations",6.0%,±2.9
"        Production, transportation, and material moving occupations",12.0%,±3.7
    Female civilian employed population 16 years and over,"25,887","±3,910"
"        Management, business, science, and arts occupations",57.5%,±5.5
        Service occupations,19.6%,±4.0
        Sales and office occupations,21.5%,±5.8
"        Natural resources, construction, and maintenance occupations",0.0%,±0.5
"        Production, transportation, and material moving occupations",1.4%,±0.9
