Label,Estimate,Margin of Error
    Population 3 years and over enrolled in school,"22,406","±2,593"
"        Nursery school, preschool",6.2%,±2.1
        Kindergarten,3.2%,±1.5
        Elementary school (grades 1-8),37.5%,±4.6
        High school (grades 9-12),17.4%,±3.1
        College or graduate school,35.7%,±5.1
    Male 3 years and over enrolled in school,"11,084","±1,634"
        Percent enrolled in kindergarten to grade 12,60.9%,±7.0
        Percent enrolled in college or graduate school,33.8%,±6.6
    Female 3 years and over enrolled in school,"11,322","±1,562"
        Percent enrolled in kindergarten to grade 12,55.4%,±6.4
        Percent enrolled in college or graduate school,37.5%,±6.4
