Label,Estimate,Margin of Error
    Total population,"88,862","±6,792"
        Male,43.7%,±2
        Female,56.3%,±2
        Under 5 years,5.4%,±1.3
        5 to 17 years,15.3%,±2.2
        18 to 24 years,7.1%,±1.9
        25 to 34 years,13.7%,±1.9
        35 to 44 years,14%,±2
        45 to 54 years,14.7%,±1.9
        55 to 64 years,12.3%,±2.1
        65 to 74 years,10.5%,±1.7
        75 years and over,7.1%,±1.4
        Median age (years),41.3,±2
        18 years and over,79.3%,±2.6
        21 years and over,76.2%,±2.6
        62 years and over,21.6%,±2.3
        65 years and over,17.6%,±2
        Under 18 years,"18,357","±2,598"
            Male,54.2%,±5.2
            Female,45.8%,±5.2
        18 years and over,"70,505","±6,075"
            Male,41%,±2.1
            Female,59%,±2.1
        18 to 34 years,"18,441","±2,484"
            Male,42.3%,±5.3
            Female,57.7%,±5.3
        35 to 64 years,"36,446","±3,669"
            Male,42.7%,±3
            Female,57.3%,±3
        65 years and over,"15,618","±2,280"
            Male,35.3%,±3.9
            Female,64.7%,±3.9
