Label,Estimate,Margin of Error
    Population 15 years and over,"74,462","±7,245"
"        Now married, except separated",52.6%,±3.0
        Widowed,5.6%,±1.5
        Divorced,5.7%,±1.3
        Separated,1.9%,±1.0
        Never married,34.2%,±2.7
    Male 15 years and over,"33,736","±3,855"
"        Now married, except separated",54.2%,±4.4
        Widowed,1.3%,±1.1
        Divorced,5.7%,±2.0
        Separated,1.1%,±1.5
        Never married,37.7%,±4.5
    Female 15 years and over,"40,726","±4,154"
"        Now married, except separated",51.4%,±3.8
        Widowed,9.1%,±2.7
        Divorced,5.8%,±1.8
        Separated,2.5%,±1.4
        Never married,31.3%,±3.0
