Label,Estimate,Margin of Error
    All families,3.0%,±1.6
        With related children of the householder under 18 years,3.3%,±2.2
            With related children of the householder under 5 years only,N,N
        Married-couple family,1.4%,±1.5
            With related children of the householder under 18 years,N,N
                With related children of the householder under 5 years only,N,N
"        Female householder, no spouse present, family",10.9%,±6.8
            With related children of the householder under 18 years,29.1%,±20.2
                With related children of the householder under 5 years only,N,N
    All people,4.7%,±1.5
        Under 18 years,3.3%,±2.6
            Related children of the householder under 18 years,3.0%,±2.5
                Related children of the householder under 5 years,N,N
                Related children of the householder 5 to 17 years,N,N
        18 years and over,5.1%,±1.8
            18 to 64 years,5.2%,±2.0
            65 years and over,4.9%,±2.8
        People in families,2.3%,±1.2
        Unrelated individuals 15 years and over,19.7%,±6.3
