Label,Estimate,Margin of Error
    Population 16 years and over,"73,395","±6,248"
        In labor force,70.4%,±3.5
            Civilian labor force,70.4%,±3.5
                Employed,68.5%,±3.7
                Unemployed,1.9%,±1.1
                    Unemployment Rate,2.7%,±1.6
            Armed Forces,0.0%,±0.1
        Not in labor force,29.6%,±3.5
    Females 16 years and over,"41,805","±4,053"
        In labor force,70.1%,±4.0
            Civilian labor force,70.1%,±4.0
                Employed,68.5%,±4.2
                Unemployed,1.6%,±1.1
                    Unemployment Rate,2.3%,±1.6
