Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"50,255","±4,922"
"        Agriculture, forestry, fishing and hunting, and mining",0.0%,±0.3
        Construction,1.8%,±1.2
        Manufacturing,5.6%,±1.7
        Wholesale trade,1.4%,±0.9
        Retail trade,10.6%,±2.8
"        Transportation and warehousing, and utilities",5.1%,±1.4
        Information,1.7%,±1.1
"        Finance and insurance, and real estate and rental and leasing",6.7%,±2.2
"        Professional, scientific, and management, and administrative and waste management services",12.6%,±2.8
"        Educational services, and health care and social assistance",42.6%,±3.6
"        Arts, entertainment, and recreation, and accommodation and food services",6.3%,±1.8
        Other services (except public administration),4.3%,±1.6
        Public administration,1.1%,±0.5
