Label,Estimate,Margin of Error
    Native,"40,028","±4,872"
        Male,48.7%,±4.6
        Female,51.3%,±4.6
    Foreign born,"50,538","±5,654"
        Male,42.0%,±2.7
        Female,58.0%,±2.7
        Foreign born; naturalized U.S. citizen,"39,005","±4,456"
            Male,44.0%,±2.6
            Female,56.0%,±2.6
        Foreign born; not a U.S. citizen,"11,533","±3,043"
            Male,35.1%,±7.6
            Female,64.9%,±7.6
    Population born outside the United States,"50,538","±5,654"
        Entered 2010 or later,21.6%,±5.0
        Entered 2000 to 2009,24.3%,±4.6
        Entered before 2000,54.0%,±5.1
