"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","75,245","±7,423"
"    One race","88.5%","±2.7"
"    Two races","10.2%","±2.5"
"    Three races","1.1%","±0.8"
"    Four or more races","0.1%","±0.2"
"SEX AND AGE","",""
"    Total population","75,245","±7,423"
"    Male","43.9%","±2.1"
"    Female","56.1%","±2.1"
"    Under 5 years","7.1%","±1.7"
"    5 to 17 years","14.4%","±2.2"
"    18 to 24 years","6.9%","±1.6"
"    25 to 34 years","18.8%","±2.2"
"    35 to 44 years","17.0%","±2.3"
"    45 to 54 years","11.0%","±2.1"
"    55 to 64 years","11.5%","±2.3"
"    65 to 74 years","9.9%","±2.0"
"    75 years and over","3.3%","±1.1"
"    Median age (years)","36.4","±1.8"
"    18 years and over","78.5%","±2.6"
"    21 years and over","75.8%","±2.6"
"    62 years and over","16.3%","±2.4"
"    65 years and over","13.2%","±2.2"
"    Under 18 years","16,192","±2,855"
"    Male","44.9%","±5.4"
"    Female","55.1%","±5.4"
"    18 years and over","59,053","±5,599"
"    Male","43.6%","±2.2"
"    Female","56.4%","±2.2"
"    18 to 34 years","19,327","±2,968"
"    Male","43.7%","±4.5"
"    Female","56.3%","±4.5"
"    35 to 64 years","29,785","±3,148"
"    Male","45.7%","±3.2"
"    Female","54.3%","±3.2"
"    65 years and over","9,941","±1,761"
"    Male","36.8%","±4.1"
"    Female","63.2%","±4.1"
"RELATIONSHIP","",""
"    Population in households","74,198","±7,459"
"    Householder or spouse","47.8%","±3.0"
"    Child","31.1%","±3.3"
"    Other relatives","13.5%","±2.9"
"    Nonrelatives","7.6%","±2.4"
"        Unmarried partner","2.2%","±1.2"
"HOUSEHOLDS BY TYPE","",""
"    Households","22,701","±2,550"
"    Family households","66.5%","±5.7"
"        With own children under 18 years","26.4%","±4.8"
"        Married-couple family","52.1%","±5.9"
"            With own children under 18 years","22.4%","±4.3"
"        Female householder, no husband present, family","11.1%","±3.5"
"            With own children under 18 years","3.5%","±2.2"
"    Nonfamily households","33.5%","±5.7"
"        Male householder","15.6%","±4.3"
"            Living alone","12.3%","±4.2"
"            Not living alone","3.3%","±1.6"
"        Female householder","17.9%","±4.0"
"            Living alone","13.2%","±3.2"
"            Not living alone","4.7%","±2.2"
"    Average household size","3.09","±0.21"
"    Average family size","3.82","±0.23"
"MARITAL STATUS","",""
"    Population 15 years and over","61,214","±5,798"
"    Now married, except separated","50.4%","±3.6"
"    Widowed","5.1%","±1.4"
"    Divorced","6.4%","±1.8"
