"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","81,632","±6,453"
"        One race","86.0%","±2.5"
"        Two races","13.2%","±2.5"
"        Three races","0.7%","±0.4"
"        Four or more races","0.2%","±0.2"
"SEX AND AGE","",""
"    Total population","81,632","±6,453"
"        Male","44.6%","±2.3"
"        Female","55.4%","±2.3"
"    Under 5 years","5.5%","±1.0"
"    5 to 17 years","16.2%","±1.7"
"    18 to 24 years","7.3%","±1.3"
"    25 to 34 years","15.3%","±2.1"
"    35 to 44 years","18.0%","±1.9"
"    45 to 54 years","11.6%","±1.8"
"    55 to 64 years","11.5%","±1.7"
"    65 to 74 years","9.7%","±1.3"
"    75 years and over","5.0%","±1.1"
"    Median age (years)","38.6","±1.3"
"    18 years and over","78.4%","±1.8"
"    21 years and over","75.5%","±1.9"
"    62 years and over","17.6%","±1.8"
"    65 years and over","14.7%","±1.7"
"    Under 18 years","17,650","±2,334"
"        Male","53.1%","±4.7"
"        Female","46.9%","±4.7"
"    18 years and over","63,982","±4,787"
"        Male","42.2%","±2.4"
"        Female","57.8%","±2.4"
"    18 to 34 years","18,392","±2,067"
"        Male","44.1%","±5.5"
"        Female","55.9%","±5.5"
"    35 to 64 years","33,568","±3,154"
"        Male","43.8%","±3.1"
"        Female","56.2%","±3.1"
"    65 years and over","12,022","±1,669"
"        Male","35.0%","±4.8"
"        Female","65.0%","±4.8"
"RELATIONSHIP","",""
"    Population in households","81,142","±6,471"
"        Householder or spouse","50.0%","±2.6"
"        Child","30.7%","±2.1"
"        Other relatives","13.0%","±2.3"
"        Nonrelatives","6.3%","±1.9"
"            Unmarried partner","1.7%","±0.7"
"HOUSEHOLDS BY TYPE","",""
"    Households","25,286","±2,393"
"        Family households","69.3%","±5.2"
"            With own children of the householder under 18 years","29.8%","±4.2"
"            Married-couple family","54.3%","±5.0"
"                With own children of the householder under 18 years","23.6%","±3.6"
"            Female householder, no husband present, family","11.8%","±2.9"
"                With own children of the householder under 18 years","5.4%","±2.3"
"        Nonfamily households","30.7%","±5.2"
"            Male householder","10.8%","±3.4"
"                Living alone","8.6%","±3.0"
"                Not living alone","2.2%","±1.3"
"            Female householder","19.9%","±4.7"
"                Living alone","15.7%","±4.7"
"                Not living alone","4.2%","±1.8"
"    Average household size","2.85","±0.17"
"    Average family size","3.48","±0.17"
"MARITAL STATUS","",""
"    Population 15 years and over","67,018","±5,106"
"        Now married, except separated","51.7%","±3.0"
"        Widowed","4.1%","±1.2"
"        Divorced","6.1%","±1.6"
"        Separated","1.0%","±0.6"
"        Never married","37.1%","±2.8"
"    Male 15 years and over","28,226","±2,684"
"        Now married, except separated","53.7%","±4.7"
"        Widowed","2.8%","±1.7"
"        Divorced","2.8%","±1.5"
"        Separated","0.5%","±0.6"
"        Never married","40.3%","±3.9"
"    Female 15 years and over","38,792","±3,364"
"        Now married, except separated","50.2%","±3.6"
"        Widowed","5.1%","±1.6"
"        Divorced","8.5%","±2.5"
"        Separated","1.4%","±0.9"
"        Never married","34.7%","±3.9"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","22,406","±2,593"
"        Nursery school, preschool","6.2%","±2.1"
"        Kindergarten","3.2%","±1.5"
"        Elementary school (grades 1-8)","37.5%","±4.6"
"        High school (grades 9-12)","17.4%","±3.1"
"        College or graduate school","35.7%","±5.1"
"    Male 3 years and over enrolled in school","11,084","±1,634"
"        Percent enrolled in kindergarten to grade 12","60.9%","±7.0"
"        Percent enrolled in college or graduate school","33.8%","±6.6"
"    Female 3 years and over enrolled in school","11,322","±1,562"
"        Percent enrolled in kindergarten to grade 12","55.4%","±6.4"
"        Percent enrolled in college or graduate school","37.5%","±6.4"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","58,058","±4,549"
"        Less than high school diploma","4.1%","±1.5"
"        High school graduate (includes equivalency)","7.6%","±1.3"
"        Some college or associate's degree","26.3%","±3.4"
"        Bachelor's degree","51.7%","±3.5"
"        Graduate or professional degree","10.3%","±2.0"
"    High school graduate or higher","95.9%","±1.5"
"        Male, high school graduate or higher","96.7%","±1.8"
"        Female, high school graduate or higher","95.3%","±1.7"
"    Bachelor's degree or higher","62.0%","±3.6"
"        Male, bachelor's degree or higher","59.3%","±5.2"
"        Female, bachelor's degree or higher","64.0%","±4.4"
"FERTILITY","",""
"    Women 15 to 50 years","22,957","±2,443"
"        Women 15 to 50 years who had a birth in the past 12 months","627","±349"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","23.1%","±20.5"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","52,487","±4,551"
"        Grandparents living with grandchild(ren)","7.5%","±1.9"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","63,924","±4,774"
"        Civilian veteran","1.2%","±0.7"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","81,560","±6,435"
"        With a disability","8.1%","±1.5"
"    Civilian noninstitutionalized population under 18 years","17,650","±2,334"
"        With a disability","2.3%","±1.8"
"    Civilian noninstitutionalized population 18 to 64 years","51,888","±3,926"
"        With a disability","5.4%","±1.6"
"    Civilian noninstitutionalized population 65 years and older","12,022","±1,669"
"        With a disability","28.2%","±5.1"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","80,834","±6,448"
"        Same house","86.4%","±2.9"
"        Different house in the U.S.","11.5%","±2.7"
"            Same county","9.2%","±2.3"
"            Different county","2.3%","±1.0"
"                Same state","0.6%","±0.3"
"                Different state","1.7%","±1.0"
"        Abroad","2.1%","±1.0"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","33,727","±3,670"
"        Male","49.0%","±4.2"
"        Female","51.0%","±4.2"
"    Foreign born","47,905","±4,727"
"        Male","41.5%","±2.5"
"        Female","58.5%","±2.5"
"    Foreign born; naturalized U.S. citizen","33,897","±4,117"
"        Male","43.4%","±3.0"
"        Female","56.6%","±3.0"
"    Foreign born; not a U.S. citizen","14,008","±2,462"
"        Male","36.7%","±5.3"
"        Female","63.3%","±5.3"
"    Population born outside the United States","47,905","±4,727"
"        Entered 2010 or later","12.8%","±3.3"
"        Entered 2000 to 2009","27.0%","±4.1"
"        Entered before 2000","60.2%","±4.5"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","47,905","±4,727"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","77,176","±5,996"
"        English only","36.7%","±3.4"
"        Language other than English","63.3%","±3.4"
"            Speak English less than ""very well""","18.1%","±2.6"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","66,115","±5,044"
"        In labor force","74.3%","±2.7"
"            Civilian labor force","74.2%","±2.8"
"                Employed","71.3%","±2.9"
"                Unemployed","3.0%","±0.9"
"                    Unemployment Rate","4.0%","±1.3"
"            Armed Forces","0.1%","±0.1"
"        Not in labor force","25.7%","±2.7"
"    Females 16 years and over","38,146","±3,336"
"        In labor force","71.3%","±3.5"
"            Civilian labor force","71.3%","±3.5"
"                Employed","69.3%","±3.4"
"                Unemployed","2.0%","±1.2"
"                    Unemployment Rate","2.8%","±1.7"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","46,327","±3,903"
"        Car, truck, or van - drove alone","62.6%","±4.5"
"        Car, truck, or van - carpooled","11.8%","±2.9"
"        Public transportation (excluding taxicab)","14.5%","±2.8"
"        Walked","5.7%","±2.8"
