"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Cook County, Illinois!!Filipino alone or in any combination!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","88,410","±7,516"
"        One race","84.1%","±3.1"
"        Two races","12.7%","±2.3"
"        Three races","2.5%","±1.5"
"        Four or more races","0.7%","±0.7"
"SEX AND AGE","",""
"    Total population","88,410","±7,516"
"        Male","47.0%","±2.4"
"        Female","53.0%","±2.4"
"        Under 5 years","5.0%","±1.3"
"        5 to 17 years","15.4%","±2.2"
"        18 to 24 years","7.9%","±1.9"
"        25 to 34 years","13.0%","±1.8"
"        35 to 44 years","14.4%","±2.0"
"        45 to 54 years","14.4%","±2.0"
"        55 to 64 years","11.5%","±1.6"
"        65 to 74 years","11.1%","±1.6"
"        75 years and over","7.4%","±1.4"
"        Median age (years)","40.5","±1.2"
"        18 years and over","79.6%","±2.5"
"        21 years and over","76.0%","±2.4"
"        62 years and over","21.7%","±2.5"
"        65 years and over","18.5%","±2.2"
"        Under 18 years","18,035","±2,924"
"            Male","54.8%","±6.5"
"            Female","45.2%","±6.5"
"        18 years and over","70,375","±5,905"
"            Male","45.0%","±2.4"
"            Female","55.0%","±2.4"
"        18 to 34 years","18,422","±2,659"
"            Male","44.1%","±5.8"
"            Female","55.9%","±5.8"
"        35 to 64 years","35,569","±3,780"
"            Male","49.3%","±3.6"
"            Female","50.7%","±3.6"
"        65 years and over","16,384","±2,164"
"            Male","36.9%","±4.1"
"            Female","63.1%","±4.1"
"RELATIONSHIP","",""
"    Population in households","88,104","±7,518"
"        Householder or spouse","55.5%","±2.8"
"        Unmarried partner","1.4%","±0.6"
"        Child","30.1%","±2.5"
"        Other relatives","10.0%","±2.0"
"        Other nonrelatives","3.1%","±1.1"
"HOUSEHOLDS BY TYPE","",""
"    Households","29,191","±2,483"
"        Family households","70.7%","±4.9"
"            With own children of the householder under 18 years","27.0%","±4.9"
"        Married-couple family","57.1%","±5.5"
"            With own children of the householder under 18 years","23.9%","±4.9"
"        Female householder, no spouse present, family","9.9%","±2.8"
"            With own children of the householder under 18 years","2.0%","±1.1"
"        Nonfamily households","29.3%","±4.9"
"            Male householder","15.4%","±3.9"
"                Living alone","11.6%","±3.6"
"                Not living alone","3.8%","±1.9"
"            Female householder","13.9%","±3.9"
"                Living alone","10.3%","±3.4"
"                Not living alone","3.6%","±2.1"
"        Average household size","2.69","±0.15"
"        Average family size","3.20","±0.14"
"MARITAL STATUS","",""
"    Population 15 years and over","73,398","±6,113"
"        Now married, except separated","56.1%","±4.5"
"        Widowed","4.6%","±1.3"
"        Divorced","4.8%","±1.7"
"        Separated","1.4%","±0.6"
"        Never married","33.0%","±3.6"
"    Male 15 years and over","33,519","±3,368"
"        Now married, except separated","58.3%","±5.5"
"        Widowed","0.7%","±0.6"
"        Divorced","5.0%","±2.5"
"        Separated","1.0%","±0.7"
"        Never married","35.0%","±5.0"
"    Female 15 years and over","39,879","±3,611"
"        Now married, except separated","54.2%","±4.9"
"        Widowed","8.0%","±2.2"
"        Divorced","4.7%","±1.9"
"        Separated","1.8%","±0.9"
"        Never married","31.4%","±4.1"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","23,155","±3,212"
"        Nursery school, preschool","6.0%","±2.6"
"        Kindergarten","3.7%","±1.8"
"        Elementary school (grades 1-8)","36.3%","±5.4"
"        High school (grades 9-12)","17.2%","±4.4"
"        College or graduate school","36.8%","±5.4"
"        Male 3 years and over enrolled in school","11,738","±2,156"
"            Percent enrolled in kindergarten to grade 12","59.5%","±8.2"
"            Percent enrolled in college or graduate school","34.4%","±7.9"
"        Female 3 years and over enrolled in school","11,417","±2,073"
"            Percent enrolled in kindergarten to grade 12","54.9%","±7.6"
"            Percent enrolled in college or graduate school","39.2%","±7.0"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","63,407","±5,405"
"        Less than high school diploma","4.1%","±1.2"
"        High school graduate (includes equivalency)","10.3%","±2.3"
"        Some college or associate's degree","21.8%","±3.1"
"        Bachelor's degree","51.9%","±3.5"
"        Graduate or professional degree","11.9%","±2.3"
"        High school graduate or higher","95.9%","±1.2"
"            Male, high school graduate or higher","96.9%","±1.4"
"            Female, high school graduate or higher","95.0%","±2.0"
"        Bachelor's degree or higher","63.8%","±3.5"
"            Male, bachelor's degree or higher","58.3%","±5.0"
"            Female, bachelor's degree or higher","68.2%","±4.3"
"FERTILITY","",""
"    Women 15 to 50 years","21,947","±2,301"
"        Women 15 to 50 years who had a birth in the past 12 months","954","±604"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","57,448","±5,159"
"        Grandparents living with grandchild(ren)","3.8%","±1.5"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","70,375","±5,905"
"        Civilian veteran","2.7%","±1.4"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","88,289","±7,517"
"        With a disability","11.3%","±2.0"
"    Civilian noninstitutionalized population under 18 years","18,035","±2,924"
"        With a disability","2.3%","±2.1"
"    Civilian noninstitutionalized population 18 to 64 years","53,935","±4,991"
"        With a disability","7.5%","±2.4"
"    Civilian noninstitutionalized population 65 years and older","16,319","±2,172"
"        With a disability","33.8%","±6.5"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","87,374","±7,368"
"        Same house","86.0%","±3.0"
"        Different house in the U.S.","12.8%","±2.9"
"            Same county","11.3%","±2.6"
"            Different county","1.5%","±0.9"
"                Same state","0.9%","±0.8"
"                Different state","0.7%","±0.4"
"        Abroad","1.1%","±0.6"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","38,668","±4,467"
"        Male","52.8%","±4.1"
"        Female","47.2%","±4.1"
"    Foreign born","49,742","±5,346"
"        Male","42.6%","±2.8"
"        Female","57.4%","±2.8"
"        Foreign born; naturalized U.S. citizen","38,575","±4,738"
"            Male","43.7%","±3.4"
"            Female","56.3%","±3.4"
"        Foreign born; not a U.S. citizen","11,167","±2,220"
"            Male","38.8%","±5.0"
"            Female","61.2%","±5.0"
"    Population born outside the United States","49,742","±5,346"
"        Entered 2010 or later","22.0%","±3.6"
"        Entered 2000 to 2009","22.3%","±3.5"
"        Entered before 2000","55.8%","±4.8"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","49,742","±5,346"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","83,995","±7,052"
"        English only","45.0%","±4.7"
"        Language other than English","55.0%","±4.7"
"            Speak English less than ""very well""","16.0%","±2.9"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","72,611","±6,119"
"        In labor force","70.1%","±2.9"
"            Civilian labor force","70.1%","±2.9"
"                Employed","65.7%","±3.3"
"                Unemployed","4.4%","±1.6"
"                    Unemployment Rate","6.3%","±2.3"
"            Armed Forces","0.0%","±0.2"
"        Not in labor force","29.9%","±2.9"
"    Females 16 years and over","39,651","±3,595"
"        In labor force","66.6%","±4.3"
"            Civilian labor force","66.6%","±4.3"
"                Employed","63.9%","±4.2"
"                Unemployed","2.7%","±1.3"
"                    Unemployment Rate","4.1%","±2.0"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","47,441","±4,686"
"        Car, truck, or van - drove alone","55.9%","±5.1"
"        Car, truck, or van - carpooled","11.6%","±2.8"
"        Public transportation (excluding taxicab)","6.9%","±2.3"
"        Walked","4.6%","±2.3"
"        Other means","2.4%","±1.0"
"        Worked from home","18.6%","±3.5"
"        Mean travel time to work (minutes)","30.1","±2.1"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","47,687","±4,726"
"        Management, business, science, and arts occupations","53.8%","±4.0"
"        Service occupations","15.3%","±2.8"
"        Sales and office occupations","18.6%","±3.2"
"        Natural resources, construction, and maintenance occupations","2.9%","±1.3"
"        Production, transportation, and material moving occupations","9.4%","±2.5"
"    Male civilian employed population 16 years and over","22,364","±2,931"
"        Management, business, science, and arts occupations","50.5%","±5.9"
"        Service occupations","14.5%","±4.0"
"        Sales and office occupations","13.0%","±3.9"
"        Natural resources, construction, and maintenance occupations","5.9%","±2.7"
"        Production, transportation, and material moving occupations","16.2%","±4.2"
"    Female civilian employed population 16 years and over","25,323","±2,713"
"        Management, business, science, and arts occupations","56.7%","±5.2"
"        Service occupations","16.0%","±3.6"
"        Sales and office occupations","23.6%","±4.2"
"        Natural resources, construction, and maintenance occupations","0.2%","±0.3"
"        Production, transportation, and material moving occupations","3.5%","±2.3"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","47,687","±4,726"
"        Agriculture, forestry, fishing and hunting, and mining","0.1%","±0.2"
"        Construction","1.5%","±0.9"
"        Manufacturing","11.0%","±3.1"
"        Wholesale trade","2.4%","±1.3"
"        Retail trade","8.0%","±1.7"
"        Transportation and warehousing, and utilities","6.5%","±1.6"
"        Information","1.3%","±0.7"
"        Finance and insurance, and real estate and rental and leasing","4.5%","±1.5"
"        Professional, scientific, and management, and administrative and waste management services","10.9%","±2.4"
"        Educational services, and health care and social assistance","41.3%","±3.5"
"        Arts, entertainment, and recreation, and accommodation and food services","6.0%","±2.3"
"        Other services (except public administration)","3.6%","±1.2"
"        Public administration","2.7%","±1.0"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","47,687","±4,726"
"        Private wage and salary workers","89.3%","±2.3"
"        Government workers","7.1%","±1.8"
"        Self-employed workers in own not incorporated business","3.7%","±1.2"
"        Unpaid family workers","0.0%","±0.3"
"INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","29,191","±2,483"
"        Median household income (dollars)","100,098","±14,877"
"        With earnings","87.9%","±3.8"
"            Mean earnings (dollars)","114,198","±8,335"
"        With Social Security income","26.9%","±4.2"
"            Mean Social Security income (dollars)","21,673","±2,645"
"        With Supplemental Security Income","3.7%","±1.8"
"            Mean Supplemental Security Income (dollars)","7,721","±1,366"
"        With cash public assistance income","5.5%","±2.2"
"            Mean cash public assistance income (dollars)","5,881","±3,102"
"        With retirement income","19.8%","±3.7"
"            Mean retirement income (dollars)","26,053","±9,264"
"        With Food Stamp/SNAP benefits","7.8%","±2.2"
"    Families","20,642","±2,458"
"        Median family income (dollars)","113,072","±9,863"
"            Married-couple family","80.7%","±4.9"
"        Median income (dollars)","123,980","±8,805"
"            Male householder, no spouse present, family","5.3%","±2.2"
"        Median income (dollars)","52,813","±38,417"
"            Female householder, no husband present, family","14.0%","±4.0"
"        Median income (dollars)","72,290","±23,965"
"    Individuals","88,410","±7,516"
"        Per capita income (dollars)","41,632","±3,639"
"        With earnings for full-time, year-round workers:","",""
"            Male","18,315","±2,500"
"            Female","18,942","±2,407"
"        Mean earnings (dollars)  for full-time, year-round workers:","",""
"            Male","79,368","±7,476"
"            Female","70,032","±6,532"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","62,942","±4,172"
"            Female","61,379","±5,091"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","88,289","±7,517"
"        With private health insurance","74.3%","±3.6"
"        With public coverage","27.3%","±3.1"
"        No health insurance coverage","7.5%","±2.0"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","3.0%","±1.6"
"        With related children of the householder under 18 years","3.3%","±2.2"
"            With related children of the householder under 5 years only","N","N"
"        Married-couple family","1.4%","±1.5"
"            With related children of the householder under 18 years","N","N"
"                With related children of the householder under 5 years only","N","N"
"        Female householder, no spouse present, family","10.9%","±6.8"
"            With related children of the householder under 18 years","29.1%","±20.2"
"                With related children of the householder under 5 years only","N","N"
"    All people","4.7%","±1.5"
"        Under 18 years","3.3%","±2.6"
"            Related children of the householder under 18 years","3.0%","±2.5"
"                Related children of the householder under 5 years","N","N"
"                Related children of the householder 5 to 17 years","N","N"
"        18 years and over","5.1%","±1.8"
"            18 to 64 years","5.2%","±2.0"
"            65 years and over","4.9%","±2.8"
"        People in families","2.3%","±1.2"
"        Unrelated individuals 15 years and over","19.7%","±6.3"
"HOUSING TENURE","",""
"    Occupied housing units","29,191","±2,483"
