year,noninst_under_18_pop_with_disability,total_civ_noninst_pop_under_18,noninst_18_to_64_pop_with_disability,total_civ_noninst_pop_18_to_64,noninst_65_plus_pop_with_disability,total_civ_noninst_pop_65_plus,total_noninst_pop_with_disability,total_civ_noninst_pop
2022,466.872,19453,3305.64,55094,4565.526,15582,8338.038,90129
2021,414.805,18035,4045.125,53935,5515.821999999999,16319,9975.752,88289
2019,584.629,18859,2561.359,54497,4953.05,16790,8099.0380000000005,90146
2018,532.353,18357,2303.952,54856,3902.25,15609,6738.555,88822
2017,459.52400000000006,17674,1637.2160000000001,51163,3916.0800000000004,14504,6012.820000000001,83341
2016,597.9540000000001,14237,2200.7920000000004,50018,3746.8639999999996,10736,6545.610000000001,74991
2015,405.95,17650,2801.952,51888,3390.2039999999997,12022,6598.106,81560
2014,374.136,15589,3174.24,52904,3820.6,10916,7368.976,79409
2013,383.08200000000005,18242,2044.514,53803,4022.3040000000005,11427,6449.900000000001,83472
2012,663.64,16591,2246.728,51062,3476.5199999999995,10440,6386.887999999999,78093
2011,275.264,16192,1899.885,48715,2328.376,9866,4503.525,74773
2010,96.87299999999999,13839,2557.4120000000003,49181,2161.68,9007,4815.965,72027
